Question number or item identifier,Source location in file if available,Question text,Answer choices,Marked correct answer,Auditor verdict,Is the marked correct answer actually correct?,"If not, what is the actually correct answer?",Is the actually correct answer present among the choices?,Statistical issue category,Formula dependency assessment,Short rationale explaining the issue,"Easy fix to answer choices, if any","Easy fix to question wording, if any",Recommended final status
Item 89,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[88].stims[0],"In the context of a matched pairs test, what does a confidence interval of the mean difference tell us?",Choice pool (runtime order randomized): The range in which the true mean difference lies with a certain level of confidence. || The exact value of the mean difference. || The maximum possible mean difference. || The probability that the mean difference is zero.,The range in which the true mean difference lies with a certain level of confidence.,Correct,Yes,The range in which the true mean difference lies with a certain level of confidence.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 90,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[89].stims[0],"A researcher is conducting a matched pairs test to compare cognitive abilities before and after a brain-training exercise. If the resulting p-value is 0.03, what can be concluded?","Choice pool (runtime order randomized): The brain-training exercise significantly changed cognitive abilities. || The brain-training exercise had an effect, but it might not be significant. || The brain-training exercise had no effect on cognitive abilities. || There is a 3% probability that the brain-training exercise improved cognitive abilities.",The brain-training exercise significantly changed cognitive abilities.,Correct,Yes,The brain-training exercise significantly changed cognitive abilities.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 91,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[90].stims[0],"A psychologist is investigating whether there is a relationship between stress levels (high, medium, low) and preferred coping mechanism (exercise, meditation, social support) in a sample of 120 adults. What statistical test should be used to determine if there is a significant association between stress levels and preferred coping mechanism?",Choice pool (runtime order randomized): Chi-square test for independence || Two-sample t-test || One-way ANOVA || Paired t-test,Chi-square test for independence,Correct,Yes,Chi-square test for independence,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 92,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[91].stims[0],Which of the following is NOT an assumption of the chi-square test for independence?,Choice pool (runtime order randomized): The sample size should be less than 100. || The sample is randomly selected from the population. || The variables are categorical. || The observations are independent of each other.,The sample size should be less than 100.,Correct,Yes,The sample size should be less than 100.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 93,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[92].stims[0],"In a study examining the relationship between age group (18-34, 35-54, 55+) and political party affiliation (Democrat, Republican, Independent), the following table of observed counts was obtained: To calculate the expected count for the cell corresponding to the 18-34 age group and Democrat affiliation, you would use the formula:",Choice pool (runtime order randomized): Row total for 18-34 × Column total for Democrat ÷ Total sample size || Row total for 18-34 - Column total for Democrat × Total sample size || Row total for 18-34 ÷ Column total for Democrat × Total sample size || Row total for 18-34 + Column total for Democrat ÷ Total sample size,Row total for 18-34 × Column total for Democrat ÷ Total sample size,Correct,Yes,Row total for 18-34 × Column total for Democrat ÷ Total sample size,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 94,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[93].stims[0],The chi-square test for independence is used to determine if there is a significant association between two variables. What is the null hypothesis for this test?,Choice pool (runtime order randomized): There is no significant association between the two variables. || There is a significant association between the two variables. || The two variables are dependent on each other. || The two variables have equal means.,There is no significant association between the two variables.,Correct,Yes,There is no significant association between the two variables.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 95,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[94].stims[0],"A researcher wants to know if there is a relationship between a person’s gender (male, female) and their favorite genre of music (rock, pop, hip-hop, country). They survey 200 people and obtain the following observed counts: If the researcher wants to conduct a chi-square test for independence at a significance level of 0.05, what is the critical value for this test?",Choice pool (runtime order randomized): 7.81 || 11.07 || 9.49 || 12.59,7.81,Correct,Yes,7.81,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 96,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[95].stims[0],"In a chi-square test for independence, what is the purpose of calculating the expected frequencies for each cell in the contingency table?",Choice pool (runtime order randomized): To compare them with the observed frequencies and assess the difference || To identify the categories of the independent and dependent variables || To calculate the degrees of freedom for the test || To determine the sample size required for the study,To compare them with the observed frequencies and assess the difference,Correct,Yes,To compare them with the observed frequencies and assess the difference,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 97,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[96].stims[0],"When conducting a chi-square test for independence, what does a small p-value (typically less than 0.05) indicate?",Choice pool (runtime order randomized): Strong evidence against the null hypothesis || Strong evidence in favor of the null hypothesis || No relationship between the variables || Insufficient evidence to draw a conclusion,Strong evidence against the null hypothesis,Correct,Yes,Strong evidence against the null hypothesis,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 98,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[97].stims[0],"A researcher is investigating the association between a person’s age group (18-34, 35-54, 55+) and their preferred social media platform (Facebook, Instagram, Twitter, LinkedIn). The contingency table has 3 rows and 4 columns. What are the degrees of freedom for the chi-square test for independence?",Choice pool (runtime order randomized): 6 || 2 || 3 || 12,6,Correct,Yes,6,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
